dataset,node,sensor,state,offset
without_global_attack,node_synthetic_1,shunt_voltage,idle,8.395905436785256
without_global_attack,node_synthetic_1,bus_voltage_V,idle,-0.0001461565724794056
without_global_attack,node_synthetic_1,current_mA,idle,-27.92777129728404
without_global_attack,node_synthetic_1,power_mW,idle,-502.53324953584706
without_global_attack,node_synthetic_1,shunt_voltage,charging,-65.64017941038901
without_global_attack,node_synthetic_1,bus_voltage_V,charging,-0.00321448862085294
without_global_attack,node_synthetic_1,current_mA,charging,32.51633733408676
without_global_attack,node_synthetic_1,power_mW,charging,-496.7758216737202
without_global_attack,node_synthetic_2,shunt_voltage,idle,-18.391264967883217
without_global_attack,node_synthetic_2,bus_voltage_V,idle,0.0004945174335597713
without_global_attack,node_synthetic_2,current_mA,idle,-39.88463294665809
without_global_attack,node_synthetic_2,power_mW,idle,407.75729534413495
without_global_attack,node_synthetic_2,shunt_voltage,charging,33.47108535633117
without_global_attack,node_synthetic_2,bus_voltage_V,charging,0.00042102910444175023
without_global_attack,node_synthetic_2,current_mA,charging,-117.56653726678974
without_global_attack,node_synthetic_2,power_mW,charging,211.44061199954058
without_global_attack,node_synthetic_3,shunt_voltage,idle,57.382870723739984
without_global_attack,node_synthetic_3,bus_voltage_V,idle,-0.005239139833650874
without_global_attack,node_synthetic_3,current_mA,idle,18.232794728488443
without_global_attack,node_synthetic_3,power_mW,idle,219.4994585609711
without_global_attack,node_synthetic_3,shunt_voltage,charging,-12.753483971869969
without_global_attack,node_synthetic_3,bus_voltage_V,charging,0.0018328784820393906
without_global_attack,node_synthetic_3,current_mA,charging,-51.557408254043594
without_global_attack,node_synthetic_3,power_mW,charging,214.20215137831292
without_global_attack,node_synthetic_4,shunt_voltage,idle,10.525076753759208
without_global_attack,node_synthetic_4,bus_voltage_V,idle,0.0028499580448313466
without_global_attack,node_synthetic_4,current_mA,idle,69.23425088202714
without_global_attack,node_synthetic_4,power_mW,idle,673.5884628503673
without_global_attack,node_synthetic_4,shunt_voltage,charging,-156.73731136444667
without_global_attack,node_synthetic_4,bus_voltage_V,charging,-0.0005203010101428873
without_global_attack,node_synthetic_4,current_mA,charging,36.29717558750622
without_global_attack,node_synthetic_4,power_mW,charging,431.36268957909124
without_global_attack,node_synthetic_5,shunt_voltage,idle,-21.02437790130375
without_global_attack,node_synthetic_5,bus_voltage_V,idle,-0.008892305925902733
without_global_attack,node_synthetic_5,current_mA,idle,15.780985233922365
without_global_attack,node_synthetic_5,power_mW,idle,-128.2186530418262
